,ID,CD_GCUF,NM_UF,NM_UF_SIGLA,CD_GCMUN,NM_MUN_2017,AR_MUN_2017
0,1.0,11.0,Rondônia,RO,1100015.0,ALTA FLORESTA D'OESTE,7067.025
1,2.0,11.0,Rondônia,RO,1100023.0,ARIQUEMES,4426.571
2,3.0,11.0,Rondônia,RO,1100031.0,CABIXI,1314.353
3,4.0,11.0,Rondônia,RO,1100049.0,CACOAL,3792.948
4,5.0,11.0,Rondônia,RO,1100056.0,CEREJEIRAS,2783.3
5,6.0,11.0,Rondônia,RO,1100064.0,COLORADO DO OESTE,1451.06
6,7.0,11.0,Rondônia,RO,1100072.0,CORUMBIARA,3060.321
7,8.0,11.0,Rondônia,RO,1100080.0,COSTA MARQUES,4987.177
8,9.0,11.0,Rondônia,RO,1100098.0,ESPIGÃO D'OESTE,4518.026
9,10.0,11.0,Rondônia,RO,1100106.0,GUAJARÁ-MIRIM,24855.724
10,11.0,11.0,Rondônia,RO,1100114.0,JARU,2944.128
11,12.0,11.0,Rondônia,RO,1100122.0,JI-PARANÁ,6896.649
12,13.0,11.0,Rondônia,RO,1100130.0,MACHADINHO D'OESTE,8509.27
13,14.0,11.0,Rondônia,RO,1100148.0,NOVA BRASILÂNDIA D'OESTE,1703.008
14,15.0,11.0,Rondônia,RO,1100155.0,OURO PRETO DO OESTE,1969.85
15,16.0,11.0,Rondônia,RO,1100189.0,PIMENTA BUENO,6240.94
16,17.0,11.0,Rondônia,RO,1100205.0,PORTO VELHO,34090.962
17,18.0,11.0,Rondônia,RO,1100254.0,PRESIDENTE MÉDICI,1758.465
18,19.0,11.0,Rondônia,RO,1100262.0,RIO CRESPO,1717.64
19,20.0,11.0,Rondônia,RO,1100288.0,ROLIM DE MOURA,1457.888
20,21.0,11.0,Rondônia,RO,1100296.0,SANTA LUZIA D'OESTE,1197.796
21,22.0,11.0,Rondônia,RO,1100304.0,VILHENA,11699.146
22,23.0,11.0,Rondônia,RO,1100320.0,SÃO MIGUEL DO GUAPORÉ,7460.219
23,24.0,11.0,Rondônia,RO,1100338.0,NOVA MAMORÉ,10071.643
24,25.0,11.0,Rondônia,RO,1100346.0,ALVORADA D'OESTE,3029.189
25,26.0,11.0,Rondônia,RO,1100379.0,ALTO ALEGRE DOS PARECIS,3958.273
26,27.0,11.0,Rondônia,RO,1100403.0,ALTO PARAÍSO,2651.822
27,28.0,11.0,Rondônia,RO,1100452.0,BURITIS,3265.809
28,29.0,11.0,Rondônia,RO,1100502.0,NOVO HORIZONTE DO OESTE,843.446
29,30.0,11.0,Rondônia,RO,1100601.0,CACAULÂNDIA,1961.778
